Experiment,Species,Treatment,Concentration,Incubation,LarvaeIn,Settled,Dead,Swimming,Stain
second,anthocersis,Control,0,0,10,9,0,1,Heavy
second,anthocersis,Control,0,0,10,9,0,1,Heavy
second,anthocersis,Control,0,0,10,8,0,2,Heavy
second,anthocersis,NeutralRed,0.1,0:05,10,9,1,0,Heavy
second,anthocersis,NeutralRed,0.1,0:05,10,10,1,0,Heavy
second,anthocersis,NeutralRed,0.1,0:05,10,8,2,0,Heavy
second,anthocersis,NeutralRed,0.01,0:10,10,5,2,3,Heavy
second,anthocersis,NeutralRed,0.01,0:10,10,2,2,6,Heavy
second,anthocersis,NeutralRed,0.01,0:10,10,7,1,2,Heavy
second,anthocersis,NeutralRed,0.001,0:15,10,6,0,4,Heavy
second,anthocersis,NeutralRed,0.001,0:15,10,9,0,1,Heavy
second,anthocersis,NeutralRed,0.001,0:15,10,9,0,1,Heavy
second,anthocersis,NileBlue,0.5,1:00,10,6,0,4,Heavy
second,anthocersis,NileBlue,0.5,1:00,10,7,0,3,Heavy
second,anthocersis,NileBlue,0.5,1:00,10,7,0,3,Heavy
second,anthocersis,NileBlue,0.1,1:00,10,7,0,2,Heavy
second,anthocersis,NileBlue,0.1,1:00,10,9,0,1,Heavy
second,anthocersis,NileBlue,0.1,1:00,10,10,0,0,Heavy
second,anthocersis,NileBlue,0.01,1:00,10,10,0,0,Heavy
second,anthocersis,NileBlue,0.01,1:00,10,8,0,2,Heavy
second,anthocersis,NileBlue,0.01,1:00,10,9,0,1,Heavy
second,anthocersis,Control,0,0,10,10,0,0,Heavy
second,anthocersis,Control,0,0,10,10,0,0,Heavy
second,anthocersis,Control,0,0,10,10,0,0,Heavy
second,anthocersis,NeutralRed,0.1,0:10,10,10,0,0,Heavy
second,anthocersis,NeutralRed,0.1,0:10,10,9,0,1,Heavy
second,anthocersis,NeutralRed,0.1,0:10,10,10,0,0,Heavy
second,anthocersis,NeutralRed,0.01,0:30,10,6,0,4,Heavy
second,anthocersis,NeutralRed,0.01,0:30,10,10,0,0,Heavy
second,anthocersis,NeutralRed,0.01,0:30,10,9,1,0,Heavy
second,anthocersis,NileBlue,1,2:00,20,18,0,2,Heavy
second,anthocersis,NileBlue,1,2:00,20,18,0,2,Heavy
second,anthocersis,NileBlue,1,2:00,20,20,0,0,Heavy
second,anthocersis,NileBlue,0.5,2:00,20,18,0,2,Heavy
second,anthocersis,NileBlue,0.5,2:00,20,15,1,4,Heavy
second,anthocersis,NileBlue,0.5,2:00,20,19,0,1,Heavy
second,favus,Control,0,0,20,0,0,20,Heavy
second,favus,Control,0,0,20,0,0,20,Heavy
second,favus,Control,0,0,20,0,0,20,Heavy
second,favus,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,favus,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,favus,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,favus,NeutralRed,0.01,0:30,20,0,0,20,Heavy
second,favus,NeutralRed,0.01,0:30,20,0,0,20,Heavy
second,favus,NeutralRed,0.01,0:30,20,0,0,20,Heavy
second,favus,NileBlue,1,2:00,20,0,0,20,Heavy
second,favus,NileBlue,1,2:00,20,0,0,20,Heavy
second,favus,NileBlue,1,2:00,20,0,0,20,Heavy
second,favus,NileBlue,0.5,2:00,20,0,0,20,Heavy
second,favus,NileBlue,0.5,2:00,20,0,0,20,Heavy
second,favus,NileBlue,0.5,2:00,20,0,0,20,Heavy
second,sinensis,Control,0,0,20,0,0,20,Heavy
second,sinensis,Control,0,0,20,6,0,14,Heavy
second,sinensis,Control,0,0,20,2,0,18,Heavy
second,sinensis,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,sinensis,NeutralRed,0.1,0:10,20,1,0,19,Heavy
second,sinensis,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,sinensis,NeutralRed,0.01,0:20,20,0,0,20,Heavy
second,sinensis,NeutralRed,0.01,0:20,20,7,2,11,Heavy
second,sinensis,NeutralRed,0.01,0:20,20,15,0,5,Heavy
second,sinensis,NileBlue,1,1:45,20,0,0,20,Heavy
second,sinensis,NileBlue,1,1:45,20,8,0,12,Heavy
second,sinensis,NileBlue,1,1:45,20,9,0,11,Heavy
second,sinensis,NileBlue,0.5,1:45,20,3,0,17,Heavy
second,sinensis,NileBlue,0.5,1:45,20,5,0,15,Heavy
second,sinensis,NileBlue,0.5,1:45,20,7,0,13,Heavy
second,aspera,Control,0,0,20,0,0,20,Heavy
second,aspera,Control,0,0,20,0,0,20,Heavy
second,aspera,Control,0,0,20,0,0,20,Heavy
second,aspera,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,aspera,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,aspera,NeutralRed,0.1,0:10,20,0,0,20,Heavy
second,aspera,NeutralRed,0.01,0:20,20,0,0,20,Heavy
second,aspera,NeutralRed,0.01,0:20,20,0,0,20,Heavy
second,aspera,NeutralRed,0.01,0:20,20,0,0,20,Heavy
second,aspera,NileBlue,1,1:45,20,0,0,20,Heavy
second,aspera,NileBlue,1,1:45,20,0,0,20,Heavy
second,aspera,NileBlue,1,1:45,20,0,0,20,Heavy
second,aspera,NileBlue,0.5,1:45,20,0,0,20,Heavy
second,aspera,NileBlue,0.5,1:45,20,0,0,20,Heavy
second,aspera,NileBlue,0.5,1:45,20,0,0,20,Heavy
